Name                                                                                   Stmts   Miss  Cover
----------------------------------------------------------------------------------------------------------
app1\__init__.py                                                                           0      0   100%
app1\admin.py                                                                             44      0   100%
app1\apps.py                                                                               6      0   100%
app1\migrations\0001_initial.py                                                            9      0   100%
app1\migrations\0002_customuser_is_creator_customuser_is_editor.py                         4      0   100%
app1\migrations\0003_delete_dummy_alter_comment_user_id_and_more.py                        6      0   100%
app1\migrations\0004_dummy_alter_comment_user_id_alter_post_category_and_more.py           6      0   100%
app1\migrations\0005_delete_dummy_post_views.py                                            4      0   100%
app1\migrations\0006_post_featured_post_top.py                                             4      0   100%
app1\migrations\0007_post_comment_post_like.py                                             4      0   100%
app1\migrations\0008_comment_like.py                                                       4      0   100%
app1\migrations\0009_alter_comment_like.py                                                 4      0   100%
app1\migrations\0010_post_scheduling_date_time.py                                          5      0   100%
app1\migrations\0011_alter_customuser_is_creator_and_more.py                               4      0   100%
app1\migrations\0012_customuser_is_premium_user_post_ispremium.py                          4      0   100%
app1\migrations\0013_subscription.py                                                       4      0   100%
app1\migrations\0014_post_content_post_image_field.py                                      4      0   100%
app1\migrations\0015_alter_post_image_field.py                                             4      0   100%
app1\migrations\0016_alter_post_image_field.py                                             4      0   100%
app1\migrations\0017_customuser_stripe_checkout_id_alter_post_image_field.py               4      0   100%
app1\migrations\0018_phonenumber.py                                                        6      0   100%
app1\migrations\0019_customuser_key.py                                                     4      0   100%
app1\migrations\0020_customuser_is_verified_email.py                                       4      0   100%
app1\migrations\0021_notification.py                                                       6      0   100%
app1\migrations\0022_notification_post_id.py                                               5      0   100%
app1\migrations\0023_notification_is_post_notification.py                                  4      0   100%
app1\migrations\0024_alter_notification_is_post_notification.py                            4      0   100%
app1\migrations\0025_customuser_is_social_login.py                                         4      0   100%
app1\migrations\0026_items.py                                                              7      0   100%
app1\migrations\0027_items_stock.py                                                        4      0   100%
app1\migrations\0028_items_subscription_id.py                                              4      0   100%
app1\migrations\0029_alter_category_category_name_alter_comment_text_and_more.py           6      0   100%
app1\migrations\0030_alter_comment_options_alter_items_options_and_more.py                 4      0   100%
app1\migrations\0031_alter_category_category_name_alter_customuser_email_and_more.py       6      0   100%
app1\migrations\0032_alter_comment_options_alter_items_options_and_more.py                 6      0   100%
app1\migrations\0033_items_subscription_id_de_items_subscription_id_eur_and_more.py        4      0   100%
app1\migrations\__init__.py                                                                0      0   100%
app1\models.py                                                                           128     21    84%
app1\serializers.py                                                                       78     11    86%
app1\signals.py                                                                           58     23    60%
app1\tests\__init__.py                                                                     0      0   100%
app1\tests\test_example.py                                                                89     17    81%
app1\urls.py                                                                               8      0   100%
app1\views.py                                                                            692    474    32%
app2\__init__.py                                                                           0      0   100%
app2\admin.py                                                                              0      0   100%
app2\apps.py                                                                               4      0   100%
app2\migrations\__init__.py                                                                0      0   100%
app2\models.py                                                                             0      0   100%
app2\urls.py                                                                               4      0   100%
app2\views.py                                                                             84     57    32%
app3\__init__.py                                                                           0      0   100%
app3\admin.py                                                                              3      0   100%
app3\apps.py                                                                               4      0   100%
app3\documents.py                                                                         12      0   100%
app3\migrations\0001_initial.py                                                            5      0   100%
app3\migrations\0002_alter_post_test_content.py                                            4      0   100%
app3\migrations\__init__.py                                                                0      0   100%
app3\models.py                                                                             4      0   100%
app3\serializers.py                                                                       13      4    69%
app3\urls.py                                                                               4      0   100%
app3\views.py                                                                             36     14    61%
app4\__init__.py                                                                           0      0   100%
app4\admin.py                                                                              0      0   100%
app4\apps.py                                                                               4      0   100%
app4\migrations\__init__.py                                                                0      0   100%
app4\models.py                                                                             0      0   100%
app4\urls.py                                                                               3      0   100%
app4\views.py                                                                             31     23    26%
app5\__init__.py                                                                           0      0   100%
app5\admin.py                                                                              0      0   100%
app5\apps.py                                                                               4      0   100%
app5\migrations\__init__.py                                                                0      0   100%
app5\models.py                                                                             0      0   100%
app5\urls.py                                                                               3      0   100%
app5\views.py                                                                             35     23    34%
task1\__init__.py                                                                          0      0   100%
task1\settings.py                                                                         65      0   100%
task1\urls.py                                                                              7      0   100%
----------------------------------------------------------------------------------------------------------
TOTAL                                                                                   1588    667    58%
